,flow_rate_mL_min,date
H1-2,15.895125544957885,2021-06-11
H2-1,11.798782839084152,2020-11-23
H3-1,14.070580146099946,2021-06-11
H4-2,17.204926240569193,2021-06-11
H5-2,16.388706249712047,2021-06-01
H6-2,15.780708760015026,2021-06-01
H7-1,13.487593772003873,2021-06-01
H8-1,9.27129476010252,2020-10-23
M1-1-1,14.488681129967587,2022-06-29
M1-2-1,13.626564710217073,2021-09-20
M1-3-2,12.981079560206677,2023-03-02
M1-4-1,14.901939884905882,2022-06-29
M2-1-1,14.335996070176515,2021-08-06
M2-2-3,11.917190100557418,2021-08-06
M2-3-2,12.032915367577894,2021-08-06
M2-4-2,11.907232103433534,2021-08-06
M3-1-1,14.668018635962829,2023-03-02
M3-2-1,14.393919236578036,2022-06-29
M3-3-1,14.264244250589677,2021-06-11
M3-4-1,14.285694362041259,2021-06-11
H9-1,15.771975786258714,2020-10-23
H10-1,15.69381058162794,2020-12-04
H11-1,6.0532383858042325,2020-10-27
H12-1,17.415191031581188,2021-03-27
M4-1-1,11.632636816809292,2023-03-02
M4-2-1,13.5701074637515,2021-06-07
M4-3-1,12.644170477127588,2023-03-02
M4-4-1,12.697687736044818,2023-03-02
H13-3,12.834929074893939,2020-10-23
H14-1,4.728910276889912,2020-08-07
H15-1,3.748662972174323,2020-08-17
H16-1,14.01177976019696,2021-02-15
M6-1-2,12.577210948864423,2023-03-02
M6-2-1,12.005037936194224,2021-03-27
M6-3-1,13.629823164924344,2022-07-01
M6-4-1,12.963365841374266,2021-06-11
H14-2,9.475473653437561,2020-10-27
H15-3,12.108577959615513,2020-10-30
M5-1-1,13.688741648254382,2022-06-29
M5-2-1,12.489027249481635,2022-06-29
M5-3-1,14.032476744272179,2022-06-29
M5-4-1,15.314325629895945,2022-06-29
H8-2,17.070955512212006,2021-06-01
H9-2,10.618227228072094,2020-10-27
H13-4,11.728378629365888,2021-02-15
H11-2,12.0,2020-10-27
H9-3,11.899774564350011,2021-03-27
H11-3,13.758127009283715,2021-03-27
H14-3,11.224875990702817,2021-02-15
H15-4,11.992409060017733,2021-02-15
H2-2,15.719779318863795,2021-06-11
H10-2,13.091391857240454,2021-03-27
M6-2-2,11.260355615460403,2023-03-02
H1,15.578005097641459,2023-03-02
H2,12.898827781821074,2023-03-02
H3,17.51149613586286,2023-03-02
H4,14.317990419635095,2023-03-02
H5,13.166994686808941,2023-03-02
H6,12.25277735858978,2023-03-02
H7,6.514276573038278,2023-03-02
H8,13.342678004042137,2023-03-02
M4-2-3,12.426405090405735,2023-03-02
