vessel_slot_id,slope,intercept
1,0.8141987526158594,-3.5219581228327463
2,0.8516683681139681,-3.774582466983826
3,0.8146654564319307,-3.511235709657019
4,0.8338091177807829,-3.6741755784631627
5,0.8699924835130215,-3.8768591376990633
6,0.8364946645190866,-3.6514177784475104
7,0.8559942412006898,-3.772734023512324
8,0.8651714417078316,-3.837674576397441
9,0.8452764735645772,-3.685022262401531
10,0.8698906700496302,-3.864777766563639
11,0.8847217582840924,-3.9741553637741336
12,0.848897540185123,-3.6999626421095537
13,0.8665413730921859,-3.7841814427247984
14,0.8554550193696691,-3.6998030049014883
15,0.8558083570136942,-3.7093330581563877
16,0.8411733992516781,-3.619410952119055
